73 x HP EliteBook 8570p Grade A : Intel Core i5 3380M 2.9 GHz / 4 Gb / 128Go SSD / DVD+/-RW / 15.6" / LCD / Webcam / Intel HD Graphics 4000 / 1600 x 900 pixels / PAV NUM / Windows 10 Home MAR 64 bits  (RPHPINTELC-53356) - 349 Euros HT
72 x Lenovo ThinkPad 10 20E4 Grade A : Intel Atom X7-Z8700 1.6 Ghz / 2048 Mo / 64Go eMMC / Aucun lecteur / 10.1 / LED TACTILE / Webcam / Intel HD Graphics / 1920 x 1200 pixels / Windows 10 Professionnel 64 bits COA  (RPLEATOMZ8-51856) - 159 Euros HT
17 x Dell Latitude E5430 Grade B : Intel Core i5 3340M 2.7 Ghz / 4 Gb / 320Go SATA / DVD+/-RW / 14.1" / LED HD / Webcam / Intel HD Graphics 4000 / 1366 x 768 pixels / HDMI / Windows 10 Home MAR 64 bits  (RPDEINTELC-50571) - 229 Euros HT
13 x Lenovo ThinkPad X240 Grade B : Intel Core i5 4300U 1.9 Ghz / 4 Gb / 256Go SSD / Aucun lecteur / 12.5" / LED HD / Webcam / Intel HD Graphics 4400 / 1366 x 768 pixels / Windows 10 Professionnel 64 bits COA  (RPLEINTELC-51132) - 269 Euros HT
12 x Dell Latitude E5430 Grade A : Intel Core i5 3320M 2.6 Ghz / 4 Gb / 320Go SATA / Go / DVD+/-RW / 14.1" / LED HD / Webcam / Intel HD Graphics 4000 / 1366 x 768 pixels / HDMI / Windows 10 Home MAR 64 bits  (RPDEINTELC-50573) - 265 Euros HT
11 x HP ProBook 645 G1 QWERTY Grade B : AMD A6 4400M 2.7 Ghz / 4096 Mo / 320Go SATA / DVD+/-RW / 14" / LED HD / Webcam / AMD Radeon HD 7520G / 1366 x 768 pixels / Windows 7 Home Premium MAR 64 bits  (RPHPAMD-49169) - 199 Euros HT
9 x Lenovo ThinkPad 10 20E4 Grade B : Intel Atom X7-Z8700 1.6 Ghz / 2048 Mo / 64Go eMMC / Aucun lecteur / 10.1 / LED TACTILE / Webcam / Intel HD Graphics / 1920 x 1200 pixels / Windows 10 Professionnel 64 bits COA  (RPLEINTELA-52184) - 149 Euros HT
7 x HP EliteBook 8570p Grade B : Intel Core i5 3380M 2.9 GHz / 4 Gb / 128Go SSD / DVD+/-RW / 15.6" / LCD / Webcam / Intel HD Graphics 4000 / 1600 x 900 pixels / PAV NUM / Windows 10 Home MAR 64 bits  (RPHPINTELC-53361) - 309 Euros HT
7 x Dell Latitude E5450 Grade A : Intel Core i5 5300U 2.3 Ghz / 8 Gb / 500Go SATA / Aucun / 14.1" / LED HD / Webcam / Intel HD Graphics 5500 / 1366 x 768 pixels / HDMI / Windows 10 Professionnel 64 bits COA  (RPDEINTELC-53259) - 395 Euros HT
6 x HP EliteBook 820 G3 Grade A : Intel Core i5 6300U 2.4 Ghz / 8 Gb / 256Go M.2 / Aucun lecteur / 12.4" / LED / Webcam / Intel HD Graphics 520 / 1366 x 768 pixels / Windows 10 Professionnel 64 bits COA  (RPHPINTELC-50711) - 475 Euros HT
5 x Lenovo ThinkPad L430 Grade B : Intel Core i3 3110M 2.4 Ghz / 4096 Mo / 320Go SATA / Aucun lecteur / 14.1" / LED HD / Intel HD Graphics 4000 / 1366 x 768 pixels / Windows 10 Home MAR 64 bits  (RPLEINTELC-50736) - 169 Euros HT
5 x Dell Latitude E5430 Grade A : Intel Core i5 3340M 2.7 Ghz / 4 Gb / 320Go SATA / Go / DVD+/-RW / 14.1" / LED HD / Webcam / Intel HD Graphics 4000 / 1366 x 768 pixels / HDMI / Windows 10 Home MAR 64 bits  (RPDEINTELC-50570) - 265 Euros HT
5 x Lenovo ThinkPad T440P Grade A : Intel Core i5 4300M 2.6 Ghz / 8 Gb / 256Go SSD / DVD-ROM / 14.1" / LED / Webcam / Intel HD Graphics 4600 / 1600 x 900 pixels / Windows 10 Professionnel 64 bits COA  (RPLEINTELC-50653) - 359 Euros HT
5 x Dell Latitude E5440 Grade B : Intel Core i5 4310U 2 Ghz / 4096 Mo / 320 Go SATA / DVD+/-RW / 14.1" / LCD HD / Webcam / Nvidia GeForce GT 720M / 1366 x 768 pixels / HDMI / Windows 10 Home MAR 64 bits  (RPDEINTELC-52348) - 265 Euros HT
4 x HP ZBook 15 Grade A : Intel Core i7 4900MQ 2.4 Ghz / 8192 Mo / 256Go SSD / DVD+/-RW / 15.6" / LED / Webcam / Nvidia Quadro K2100M / 1920 x 1080 pixels / PAV NUM / Windows 10 Professionnel 64 bits COA  (RPHPINTELC-52919) - 675 Euros HT
4 x Lenovo ThinkPad L430 Grade A : Intel Core i5 3320M 2.6 Ghz / 4096 Mo / 320Go SATA / DVD+/-RW / 14.1" / LCD / Webcam / Intel HD Graphics 4000 / 1366 x 768 pixels / Windows 10 Home MAR 64 bits  (RPLEINTELC-53053) - 255 Euros HT
4 x Dell Latitude E5440 Grade A : Intel Core i5 4300U 1.9 Ghz / 4096 Mo / 320Go SATA / DVD+/-RW / 14.1" / LCD HD / Webcam / Nvidia Geforce GT 720M / 1366 x 768 pixels / HDMI / Windows 10 Home MAR 64 bits  (RPDEINTELC-52030) - 315 Euros HT
4 x Lenovo Thinkpad X1 Carbon Grade A : Intel Core i5 6300U 2.4 Ghz / 8 Gb / 256Go M-SATA / Aucun lecteur / 14" / LED / Webcam / Intel HD Graphics 520 / 1920 x 1080 pixels / HDMI / Windows 10 Professionnel 64 bits COA  (RPLEINTELC-51475) - 509 Euros HT
